 27-May-2011       (david_102.dat - 1.0*Aver(david_101.dat,david_103.dat) /  5
david_102.da  Conc = .56E+01  N1 =    1  N2 = 2178
david_101.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
david_103.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
  1.278740E-01  0.197484E+01  0.998176E-01
  1.281480E-01  0.174659E+01  0.971209E-01
  1.284210E-01  0.183850E+01  0.965765E-01
  1.286950E-01  0.178665E+01  0.942633E-01
  1.289680E-01  0.197799E+01  0.958180E-01
  1.292420E-01  0.172651E+01  0.945245E-01
  1.295150E-01  0.181278E+01  0.974215E-01
  1.297890E-01  0.167679E+01  0.919245E-01
  1.300620E-01  0.180775E+01  0.949886E-01
  1.303360E-01  0.179523E+01  0.942582E-01
  1.306090E-01  0.172488E+01  0.923844E-01
  1.308830E-01  0.160395E+01  0.939801E-01
  1.311570E-01  0.176067E+01  0.956663E-01
  1.314300E-01  0.169543E+01  0.953353E-01
  1.317040E-01  0.163565E+01  0.912071E-01
  1.319770E-01  0.171446E+01  0.936463E-01
  1.322510E-01  0.151795E+01  0.936205E-01
  1.325240E-01  0.155708E+01  0.937301E-01
  1.327980E-01  0.157235E+01  0.926987E-01
  1.330710E-01  0.168391E+01  0.953010E-01
  1.333450E-01  0.166666E+01  0.910343E-01
  1.336180E-01  0.160494E+01  0.935226E-01
  1.338920E-01  0.167324E+01  0.947252E-01
  1.341650E-01  0.150616E+01  0.911680E-01
  1.344390E-01  0.161737E+01  0.912094E-01
  1.347120E-01  0.150373E+01  0.929661E-01
  1.349860E-01  0.154576E+01  0.928413E-01
  1.352590E-01  0.157370E+01  0.922290E-01
  1.355330E-01  0.137275E+01  0.914427E-01
  1.358060E-01  0.147387E+01  0.913968E-01
  1.360800E-01  0.142973E+01  0.891130E-01
  1.363530E-01  0.151362E+01  0.911688E-01
  1.366270E-01  0.146210E+01  0.897943E-01
  1.369000E-01  0.145930E+01  0.923842E-01
  1.371740E-01  0.153213E+01  0.935929E-01
  1.374470E-01  0.130129E+01  0.912658E-01
  1.377210E-01  0.123437E+01  0.902934E-01
  1.379940E-01  0.148430E+01  0.892559E-01
  1.382680E-01  0.132653E+01  0.923534E-01
  1.385410E-01  0.138129E+01  0.906300E-01
  1.388150E-01  0.135798E+01  0.900291E-01
  1.390880E-01  0.140110E+01  0.908657E-01
  1.393620E-01  0.129031E+01  0.928746E-01
  1.396350E-01  0.129889E+01  0.911297E-01
  1.399090E-01  0.130322E+01  0.898378E-01
  1.401820E-01  0.116363E+01  0.913540E-01
  1.404560E-01  0.132659E+01  0.904680E-01
  1.407290E-01  0.118297E+01  0.896108E-01
  1.410030E-01  0.124398E+01  0.895927E-01
  1.412760E-01  0.133699E+01  0.900069E-01
  1.415500E-01  0.126676E+01  0.910207E-01
