Sample description: b1c
Sample: b1c  c= 1.0000 mg/ml  Code: b1c
Parent(s): b1c_avg481-496.dat b1c_avg400-430.dat
  1.005280e-01   2.863836e+01   2.624836e-01
  1.008320e-01   2.807783e+01   2.602032e-01
  1.011370e-01   2.809533e+01   2.618865e-01
  1.014420e-01   2.761741e+01   2.583244e-01
  1.017460e-01   2.760943e+01   2.600640e-01
  1.020510e-01   2.667817e+01   2.607113e-01
  1.023560e-01   2.698657e+01   2.571744e-01
  1.026600e-01   2.678677e+01   2.590345e-01
  1.029650e-01   2.680828e+01   2.566627e-01
  1.032690e-01   2.642823e+01   2.580164e-01
  1.035740e-01   2.593928e+01   2.561290e-01
  1.038790e-01   2.550403e+01   2.553978e-01
  1.041830e-01   2.536327e+01   2.573669e-01
  1.044880e-01   2.525194e+01   2.542908e-01
  1.047930e-01   2.486376e+01   2.551837e-01
  1.050970e-01   2.478502e+01   2.527846e-01
  1.054020e-01   2.412292e+01   2.531371e-01
  1.057070e-01   2.407408e+01   2.547443e-01
  1.060110e-01   2.437549e+01   2.517880e-01
  1.063160e-01   2.401516e+01   2.523007e-01
  1.066200e-01   2.378676e+01   2.502571e-01
  1.069250e-01   2.398784e+01   2.505088e-01
  1.072300e-01   2.312846e+01   2.523227e-01
  1.075340e-01   2.290068e+01   2.500580e-01
  1.078390e-01   2.267549e+01   2.496345e-01
  1.081440e-01   2.331059e+01   2.484843e-01
  1.084480e-01   2.221849e+01   2.490045e-01
  1.087530e-01   2.245986e+01   2.474227e-01
  1.090570e-01   2.185356e+01   2.479428e-01
  1.093620e-01   2.172789e+01   2.486619e-01
  1.096670e-01   2.165609e+01   2.470507e-01
  1.099710e-01   2.097743e+01   2.468596e-01
  1.102760e-01   2.096881e+01   2.446731e-01
  1.105810e-01   2.094618e+01   2.447675e-01
  1.108850e-01   2.078610e+01   2.463831e-01
  1.111900e-01   2.020241e+01   2.441161e-01
  1.114940e-01   2.078636e+01   2.453914e-01
  1.117990e-01   2.002317e+01   2.423067e-01
  1.121040e-01   1.933870e+01   2.435283e-01
  1.124080e-01   1.963293e+01   2.427027e-01
  1.127130e-01   1.912294e+01   2.423792e-01
  1.130180e-01   1.942007e+01   2.426134e-01
  1.133220e-01   1.920472e+01   2.404439e-01
  1.136270e-01   1.871832e+01   2.429539e-01
  1.139310e-01   1.918653e+01   2.397522e-01
  1.142360e-01   1.853610e+01   2.415346e-01
  1.145410e-01   1.834732e+01   2.402032e-01
  1.148450e-01   1.812131e+01   2.391274e-01
  1.151500e-01   1.818336e+01   2.402929e-01
  1.154550e-01   1.774484e+01   2.380602e-01
  1.157590e-01   1.775438e+01   2.380273e-01
  1.160640e-01   1.731684e+01   2.379476e-01
  1.163690e-01   1.718942e+01   2.373125e-01
  1.166730e-01   1.715249e+01   2.380328e-01
  1.169780e-01   1.691749e+01   2.368286e-01
  1.172820e-01   1.620711e+01   2.371306e-01
  1.175870e-01   1.646716e+01   2.361018e-01
  1.178920e-01   1.633522e+01   2.345466e-01
  1.181960e-01   1.625733e+01   2.342580e-01
  1.185010e-01   1.640949e+01   2.359210e-01
  1.188060e-01   1.613966e+01   2.350600e-01
  1.191100e-01   1.539850e+01   2.345127e-01
  1.194150e-01   1.553476e+01   2.337282e-01
  1.197190e-01   1.547704e+01   2.332918e-01
  1.200240e-01   1.526117e+01   2.332283e-01
  1.203290e-01   1.479115e+01   2.317238e-01
  1.206330e-01   1.513941e+01   2.329580e-01
  1.209380e-01   1.485416e+01   2.317104e-01
  1.212430e-01   1.455875e+01   2.325895e-01
  1.215470e-01   1.457062e+01   2.316153e-01
  1.218520e-01   1.463920e+01   2.303839e-01
  1.221560e-01   1.396445e+01   2.297268e-01
  1.224610e-01   1.395558e+01   2.304686e-01
  1.227660e-01   1.427966e+01   2.310855e-01
  1.230700e-01   1.359313e+01   2.286649e-01
  1.233750e-01   1.388784e+01   2.295971e-01
  1.236800e-01   1.380795e+01   2.276274e-01
  1.239840e-01   1.356212e+01   2.300162e-01
  1.242890e-01   1.343180e+01   2.277167e-01
  1.245940e-01   1.289851e+01   2.278334e-01
  1.248980e-01   1.333185e+01   2.276196e-01
  1.252030e-01   1.268401e+01   2.271257e-01
  1.255070e-01   1.271326e+01   2.270320e-01
  1.258120e-01   1.271611e+01   2.260372e-01
  1.261170e-01   1.245382e+01   2.278008e-01
  1.264210e-01   1.220735e+01   2.256663e-01
  1.267260e-01   1.142674e+01   2.295469e-01
  1.270310e-01   1.193812e+01   2.358314e-01
  1.273350e-01   1.147616e+01   2.346563e-01
  1.276400e-01   1.147813e+01   2.401457e-01
  1.279440e-01   1.184654e+01   2.410163e-01
  1.282490e-01   1.142672e+01   2.431722e-01
  1.285540e-01   1.132868e+01   2.426788e-01
  1.288580e-01   1.134356e+01   2.400466e-01
  1.291630e-01   1.124821e+01   2.375314e-01
  1.294680e-01   1.144233e+01   2.321909e-01
  1.297720e-01   1.098021e+01   2.319562e-01
  1.300770e-01   1.085101e+01   2.303737e-01
  1.303810e-01   1.067460e+01   2.315973e-01
  1.306860e-01   1.057073e+01   2.313752e-01
  1.309910e-01   1.039765e+01   2.281073e-01
  1.312950e-01   1.022105e+01   2.305208e-01
  1.316000e-01   9.763660e+00   2.275564e-01
  1.319050e-01   9.677270e+00   2.277257e-01
  1.322090e-01   1.008260e+01   2.290418e-01
  1.325140e-01   9.559820e+00   2.252564e-01
  1.328190e-01   9.660990e+00   2.277289e-01
  1.331230e-01   9.596120e+00   2.251343e-01
  1.334280e-01   9.217430e+00   2.251570e-01
  1.337320e-01   9.415760e+00   2.244009e-01
  1.340370e-01   8.943520e+00   2.233985e-01
  1.343420e-01   9.521890e+00   2.250377e-01
  1.346460e-01   8.796360e+00   2.199928e-01
  1.349510e-01   8.691050e+00   2.209252e-01
  1.352560e-01   9.105920e+00   2.200661e-01
  1.355600e-01   8.730280e+00   2.207757e-01
  1.358650e-01   9.157950e+00   2.199522e-01
  1.361690e-01   8.414360e+00   2.171124e-01
  1.364740e-01   8.357590e+00   2.190268e-01
  1.367790e-01   8.292740e+00   2.179564e-01
  1.370830e-01   8.269050e+00   2.182418e-01
  1.373880e-01   8.369290e+00   2.176413e-01
  1.376930e-01   8.326220e+00   2.161583e-01
  1.379970e-01   8.315530e+00   2.188054e-01
  1.383020e-01   7.517070e+00   2.160732e-01
  1.386060e-01   7.581830e+00   2.172233e-01
  1.389110e-01   7.923230e+00   2.147610e-01
  1.392160e-01   7.490850e+00   2.165602e-01
  1.395200e-01   7.562580e+00   2.173440e-01
  1.398250e-01   7.606060e+00   2.142058e-01
  1.401300e-01   7.399780e+00   2.143832e-01
  1.404340e-01   7.186600e+00   2.134156e-01
  1.407390e-01   7.465280e+00   2.153837e-01
  1.410440e-01   7.007320e+00   2.139203e-01
  1.413480e-01   7.271650e+00   2.138053e-01
  1.416530e-01   7.037740e+00   2.144997e-01
  1.419570e-01   7.116940e+00   2.127093e-01
  1.422620e-01   6.762580e+00   2.139740e-01
  1.425670e-01   6.895030e+00   2.113784e-01
  1.428710e-01   6.757790e+00   2.120758e-01
  1.431760e-01   6.628480e+00   2.136287e-01
  1.434810e-01   6.636000e+00   2.119669e-01
  1.437850e-01   6.625010e+00   2.121988e-01
  1.440900e-01   6.376100e+00   2.104810e-01
  1.443940e-01   6.481300e+00   2.116000e-01
  1.446990e-01   6.301970e+00   2.118234e-01
  1.450040e-01   5.988910e+00   2.096434e-01
  1.453080e-01   5.777160e+00   2.108093e-01
  1.456130e-01   6.076050e+00   2.094188e-01
  1.459180e-01   5.952470e+00   2.108375e-01
  1.462220e-01   6.186340e+00   2.095848e-01
  1.465270e-01   5.803890e+00   2.089596e-01
  1.468310e-01   6.149680e+00   2.105556e-01
  1.471360e-01   5.990270e+00   2.080065e-01
  1.474410e-01   5.862990e+00   2.164594e-01
  1.477450e-01   5.480000e+00   2.182807e-01
  1.480500e-01   5.812720e+00   2.204122e-01
  1.483550e-01   5.337600e+00   2.253534e-01
  1.486590e-01   5.033500e+00   2.236855e-01
  1.489640e-01   5.135720e+00   2.284465e-01
  1.492690e-01   4.713240e+00   2.255242e-01
  1.495730e-01   4.871790e+00   2.280836e-01
  1.498780e-01   5.487920e+00   2.288179e-01
  1.501820e-01   5.056370e+00   2.276558e-01
  1.504870e-01   5.111130e+00   2.304959e-01
  1.507920e-01   4.819720e+00   2.289173e-01
  1.510960e-01   4.855580e+00   2.312440e-01
  1.514010e-01   4.540320e+00   2.285844e-01
  1.517060e-01   4.521190e+00   2.299741e-01
  1.520100e-01   4.685130e+00   2.306952e-01
  1.523150e-01   4.579480e+00   2.282686e-01
  1.526190e-01   4.357010e+00   2.217524e-01
  1.529240e-01   4.454940e+00   2.170315e-01
  1.532290e-01   4.233290e+00   2.154090e-01
  1.535330e-01   4.441020e+00   2.146681e-01
  1.538380e-01   4.388900e+00   2.113865e-01
  1.541430e-01   4.284120e+00   2.123581e-01
  1.544470e-01   4.334970e+00   2.095479e-01
  1.547520e-01   4.127510e+00   2.110227e-01
  1.550560e-01   4.005990e+00   2.100730e-01
  1.553610e-01   4.212570e+00   2.093982e-01
  1.556660e-01   4.164370e+00   2.105468e-01
  1.559700e-01   3.929410e+00   2.082134e-01
  1.562750e-01   3.837830e+00   2.101925e-01
  1.565800e-01   4.010660e+00   2.083017e-01
  1.568840e-01   4.118530e+00   2.084567e-01
  1.571890e-01   3.588110e+00   2.083147e-01
  1.574940e-01   3.851900e+00   2.060071e-01
  1.577980e-01   3.757250e+00   2.075671e-01
  1.581030e-01   3.452320e+00   2.051332e-01
  1.584070e-01   3.849560e+00   2.069078e-01
  1.587120e-01   3.805810e+00   2.070950e-01
  1.590170e-01   3.660900e+00   2.061619e-01
  1.593210e-01   3.623630e+00   2.065633e-01
  1.596260e-01   3.516730e+00   2.028471e-01
  1.599310e-01   3.532720e+00   2.059074e-01
  1.602350e-01   3.293490e+00   2.050307e-01
  1.605400e-01   3.294200e+00   2.044610e-01
  1.608440e-01   3.549720e+00   2.050906e-01
  1.611490e-01   3.734670e+00   2.026278e-01
