Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 1.5 mg/ml  Code: tmp
Parent(s): /var/folders/my/9kqlz5zx61sd5jfjbtjhx37r0000gn/T/qt_temp.j38453 /var/folders/my/9kqlz5zx61sd5jfjbtjhx37r0000gn/T/qt_temp.K38453
  1.589790e-01   2.547500e+00   6.867497e-02
  1.594710e-01   2.607400e+00   6.954029e-02
  1.599630e-01   2.578600e+00   6.795002e-02
  1.604550e-01   2.627400e+00   6.795920e-02
  1.609470e-01   2.481400e+00   6.822045e-02
  1.614390e-01   2.594300e+00   6.806622e-02
  1.619310e-01   2.650500e+00   6.931513e-02
  1.624230e-01   2.505500e+00   6.855498e-02
  1.629150e-01   2.514600e+00   6.946224e-02
  1.634070e-01   2.662700e+00   6.945770e-02
  1.638990e-01   2.501500e+00   6.886381e-02
  1.643900e-01   2.527900e+00   6.947199e-02
  1.648820e-01   2.499600e+00   6.951843e-02
  1.653740e-01   2.503800e+00   6.988594e-02
  1.658660e-01   2.555400e+00   7.062075e-02
  1.663580e-01   2.422500e+00   6.842318e-02
  1.668500e-01   2.384300e+00   6.975172e-02
  1.673420e-01   2.480600e+00   6.904390e-02
  1.678340e-01   2.392500e+00   6.983777e-02
  1.683260e-01   2.387500e+00   7.006403e-02
  1.688180e-01   2.518300e+00   6.890136e-02
  1.693090e-01   2.544800e+00   6.990137e-02
  1.698010e-01   2.444400e+00   6.916639e-02
  1.702930e-01   2.344600e+00   7.027459e-02
  1.707850e-01   2.463200e+00   6.953574e-02
  1.712770e-01   2.398300e+00   7.009145e-02
  1.717690e-01   2.448500e+00   7.016271e-02
  1.722610e-01   2.301300e+00   6.892478e-02
  1.727530e-01   2.395400e+00   6.935680e-02
  1.732450e-01   2.383100e+00   6.929999e-02
  1.737360e-01   2.367700e+00   6.913488e-02
  1.742280e-01   2.447100e+00   6.995879e-02
  1.747200e-01   2.408700e+00   6.855399e-02
  1.752120e-01   2.348700e+00   7.005771e-02
  1.757040e-01   2.447100e+00   6.795525e-02
  1.761960e-01   2.368000e+00   6.978030e-02
  1.766880e-01   2.384200e+00   6.952367e-02
  1.771790e-01   2.374600e+00   6.792010e-02
  1.776710e-01   2.306800e+00   6.847693e-02
  1.781630e-01   2.247000e+00   6.784847e-02
  1.786550e-01   2.264100e+00   6.881225e-02
  1.791470e-01   2.347500e+00   6.732494e-02
  1.796390e-01   2.334200e+00   6.809004e-02
  1.801310e-01   2.321500e+00   6.879800e-02
  1.806220e-01   2.423300e+00   6.920291e-02
  1.811140e-01   2.251100e+00   6.840131e-02
  1.816060e-01   2.220500e+00   6.759034e-02
  1.820980e-01   2.331900e+00   6.824146e-02
  1.825900e-01   2.241100e+00   6.849325e-02
  1.830810e-01   2.146400e+00   6.864674e-02
  1.835730e-01   2.475300e+00   6.857320e-02
  1.840650e-01   2.357300e+00   6.757026e-02
  1.845570e-01   2.283100e+00   6.852503e-02
  1.850490e-01   2.303900e+00   6.818150e-02
  1.855410e-01   2.181600e+00   6.770988e-02
  1.860320e-01   2.298300e+00   6.817981e-02
  1.865240e-01   2.235300e+00   6.772194e-02
  1.870160e-01   2.199100e+00   6.843432e-02
  1.875080e-01   2.268600e+00   6.753632e-02
  1.880000e-01   2.245400e+00   6.768495e-02
  1.884910e-01   2.299100e+00   6.792624e-02
  1.889830e-01   2.185800e+00   6.797799e-02
  1.894750e-01   2.274600e+00   6.779937e-02
  1.899670e-01   2.284700e+00   6.792996e-02
  1.904580e-01   2.197200e+00   6.729713e-02
  1.909500e-01   2.143200e+00   6.607846e-02
  1.914420e-01   2.227600e+00   6.623335e-02
  1.919340e-01   2.199400e+00   6.676997e-02
  1.924260e-01   2.171200e+00   6.718961e-02
  1.929170e-01   2.104700e+00   6.722841e-02
  1.934090e-01   2.112200e+00   6.735800e-02
  1.939010e-01   2.150800e+00   6.607836e-02
  1.943930e-01   2.182400e+00   6.730592e-02
