Sample description: HtrASnrefolded
Sample: HtrASnrefolded  c= 1.16 mg/ml  Code: 
  1.150040e+00   3.159553e-04   4.231457e-05
  1.152790e+00   3.280070e-04   4.213851e-05
  1.155540e+00   2.363864e-04   4.175466e-05
  1.158290e+00   3.486189e-04   4.198276e-05
  1.161040e+00   2.769812e-04   4.151540e-05
  1.163790e+00   3.070609e-04   4.174663e-05
  1.166540e+00   2.816233e-04   4.166891e-05
  1.169290e+00   3.049438e-04   4.172539e-05
  1.172040e+00   3.074462e-04   4.140450e-05
  1.174790e+00   2.720580e-04   4.155447e-05
  1.177540e+00   2.537093e-04   4.147781e-05
  1.180290e+00   2.758875e-04   4.111314e-05
  1.183040e+00   2.627205e-04   4.120702e-05
  1.185790e+00   2.577905e-04   4.124662e-05
  1.188540e+00   2.724456e-04   4.116079e-05
  1.191290e+00   2.507411e-04   4.103651e-05
  1.194040e+00   2.324662e-04   4.110075e-05
  1.196790e+00   2.263304e-04   4.107434e-05
  1.199540e+00   2.665976e-04   4.100307e-05
  1.202290e+00   2.752358e-04   4.125463e-05
  1.205040e+00   2.258045e-04   4.093151e-05
  1.207790e+00   2.072474e-04   4.075272e-05
  1.210540e+00   2.373917e-04   4.077860e-05
  1.213290e+00   2.902196e-04   4.086603e-05
  1.216040e+00   2.845088e-04   4.095503e-05
  1.218790e+00   1.929890e-04   4.037085e-05
  1.221540e+00   2.173601e-04   4.063659e-05
  1.224290e+00   2.519709e-04   4.037740e-05
  1.227040e+00   2.710618e-04   4.073481e-05
  1.229780e+00   2.183473e-04   4.025978e-05
  1.232530e+00   2.325829e-04   4.029482e-05
  1.235280e+00   2.043166e-04   4.047169e-05
  1.238030e+00   2.311936e-04   4.024760e-05
  1.240780e+00   2.074616e-04   4.032335e-05
  1.243530e+00   1.966156e-04   4.016459e-05
  1.246280e+00   2.269628e-04   4.025036e-05
  1.249030e+00   2.092001e-04   4.024570e-05
  1.251780e+00   2.105069e-04   3.984000e-05
  1.254530e+00   1.997912e-04   4.026463e-05
  1.257280e+00   2.394272e-04   4.045363e-05
  1.260030e+00   2.330307e-04   4.010207e-05
  1.262780e+00   1.983236e-04   3.979281e-05
  1.265530e+00   1.779644e-04   3.963509e-05
  1.268280e+00   1.986692e-04   3.993273e-05
  1.271030e+00   2.096705e-04   3.982251e-05
  1.273780e+00   2.185206e-04   3.988371e-05
  1.276530e+00   1.945065e-04   3.982471e-05
  1.279280e+00   2.007137e-04   3.948805e-05
  1.282030e+00   2.212973e-04   4.010295e-05
  1.284780e+00   2.067329e-04   3.975209e-05
  1.287530e+00   2.134671e-04   3.974706e-05
  1.290280e+00   1.690157e-04   3.969263e-05
  1.293030e+00   1.985106e-04   3.959101e-05
  1.295780e+00   2.061526e-04   3.976866e-05
  1.298530e+00   1.683187e-04   3.936824e-05
  1.301280e+00   1.948975e-04   3.955182e-05
  1.304030e+00   2.168921e-04   3.960845e-05
  1.306780e+00   2.080894e-04   3.955532e-05
  1.309530e+00   1.778828e-04   3.937782e-05
  1.312280e+00   1.794684e-04   3.923047e-05
  1.315030e+00   1.600000e-04   3.947755e-05
  1.317780e+00   1.757068e-04   3.909760e-05
  1.320530e+00   1.631053e-04   3.911922e-05
  1.323280e+00   1.777593e-04   3.904274e-05
  1.326030e+00   1.939648e-04   3.927753e-05
  1.328780e+00   1.472275e-04   3.919469e-05
  1.331530e+00   1.704504e-04   3.909407e-05
  1.334280e+00   1.687154e-04   3.908894e-05
  1.337030e+00   1.842114e-04   3.913907e-05
  1.339780e+00   1.774737e-04   3.918813e-05
  1.342530e+00   2.039699e-04   3.908555e-05
  1.345270e+00   1.641355e-04   3.924108e-05
  1.348020e+00   1.695404e-04   3.908757e-05
  1.350770e+00   1.673679e-04   3.904585e-05
  1.353520e+00   1.026909e-04   3.856317e-05
  1.356270e+00   1.709990e-04   3.875928e-05
  1.359020e+00   1.459683e-04   3.849545e-05
  1.361770e+00   1.033370e-04   3.863795e-05
  1.364520e+00   1.373946e-04   3.849484e-05
