Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): /data/lachlan/Data/JL15_SAXS_Jul2015/sec2/msub/SENDING/gi_0220.dat
  3.411020e-01   8.020262e-04   1.451746e-03
  3.418800e-01   7.163179e-04   1.444648e-03
  3.426570e-01  -4.612949e-04   1.551693e-03
  3.434350e-01   2.617056e-04   1.558684e-03
  3.442130e-01  -3.588449e-04   1.518835e-03
  3.449910e-01   7.213947e-04   1.549197e-03
  3.457680e-01  -7.645755e-04   1.700634e-03
  3.465460e-01   1.377636e-03   1.704700e-03
  3.473240e-01   4.957290e-04   1.826858e-03
  3.481020e-01  -5.814305e-04   1.800103e-03
  3.488790e-01  -9.043603e-04   1.745815e-03
  3.496570e-01   1.664335e-04   1.933903e-03
  3.504350e-01   6.604708e-04   2.086783e-03
  3.512120e-01   9.363364e-04   2.114229e-03
  3.519900e-01   1.842613e-03   2.269059e-03
  3.527680e-01   1.170049e-03   2.521330e-03
  3.535450e-01  -1.058743e-03   2.265646e-03
  3.543230e-01  -3.765703e-04   2.519887e-03
  3.551010e-01   1.032749e-03   3.105745e-03
  3.558780e-01   1.758910e-04   3.044330e-03
  3.566560e-01   7.572913e-04   3.301448e-03
  3.574330e-01  -1.295073e-03   3.603697e-03
  3.582110e-01  -9.773888e-04   3.839862e-03
  3.589880e-01   6.218092e-04   4.752325e-03
  3.597660e-01  -4.921712e-03   3.989759e-03
  3.605430e-01   8.696941e-03   8.622266e-03
parent: /data/lachlan/Data/JL15_SAXS_Jul2015/sec2/msub/SENDING/gi_0220.dat
range-from: 1
range-to: 448
