Sample description: BSA
Sample: BSA  c= 8.3400 mg/ml  Code: bsa
Parent(s): data/frames/img_0001_02311.dat data/subtracted/img_0001_buffer.dat
  1.008810e+00   7.357800e+01   1.589262e+01
  1.010810e+00   6.298300e+01   1.609614e+01
  1.012810e+00   6.292200e+01   1.577498e+01
  1.014800e+00   5.764500e+01   1.578908e+01
  1.016800e+00   5.337000e+01   1.590830e+01
  1.018800e+00   5.919800e+01   1.566062e+01
  1.020800e+00   4.866600e+01   1.583970e+01
  1.022800e+00   6.125900e+01   1.564349e+01
  1.024800e+00   7.901600e+01   1.587374e+01
  1.026800e+00   5.481000e+01   1.591779e+01
  1.028790e+00   7.068600e+01   1.569869e+01
  1.030790e+00   5.143700e+01   1.563897e+01
  1.032790e+00   6.664200e+01   1.565873e+01
  1.034790e+00   8.757500e+01   1.584652e+01
  1.036790e+00   4.231700e+01   1.571009e+01
  1.038790e+00   5.362300e+01   1.550170e+01
  1.040780e+00   5.409800e+01   1.566346e+01
  1.042780e+00   4.846400e+01   1.551557e+01
  1.044780e+00   5.978700e+01   1.557116e+01
  1.046780e+00   5.816700e+01   1.559404e+01
  1.048780e+00   6.731600e+01   1.549504e+01
  1.050780e+00   5.077000e+01   1.565439e+01
  1.052780e+00   6.777300e+01   1.554541e+01
  1.054770e+00   4.963400e+01   1.549675e+01
  1.056770e+00   6.714900e+01   1.551894e+01
  1.058770e+00   5.399300e+01   1.544281e+01
  1.060770e+00   5.616500e+01   1.593957e+01
  1.062770e+00   3.608400e+01   1.578461e+01
  1.064770e+00   5.220800e+01   1.593420e+01
  1.066760e+00   6.263200e+01   1.598852e+01
  1.068760e+00   6.908500e+01   1.619133e+01
  1.070760e+00   8.267900e+01   1.642411e+01
  1.072760e+00   5.716000e+01   1.621132e+01
  1.074760e+00   3.297900e+01   1.625588e+01
  1.076760e+00   5.870800e+01   1.628943e+01
  1.078750e+00   6.411700e+01   1.643812e+01
  1.080750e+00   4.686300e+01   1.622959e+01
  1.082750e+00   6.460000e+01   1.645083e+01
  1.084750e+00   4.941800e+01   1.652890e+01
  1.086750e+00   4.439300e+01   1.649529e+01
  1.088750e+00   5.809500e+01   1.654412e+01
  1.090750e+00   4.434700e+01   1.634152e+01
  1.092740e+00   1.553900e+01   1.638568e+01
  1.094740e+00   5.526400e+01   1.629621e+01
  1.096740e+00   2.350500e+01   1.605440e+01
  1.098740e+00   5.728300e+01   1.606873e+01
  1.100740e+00   3.130200e+01   1.579964e+01
  1.102740e+00   2.230900e+01   1.582478e+01
  1.104730e+00   1.894200e+01   1.565663e+01
  1.106730e+00   1.900000e+01   1.555807e+01
  1.108730e+00   3.183100e+01   1.576218e+01
  1.110730e+00   3.817700e+01   1.564412e+01
  1.112730e+00   6.304100e+01   1.589088e+01
  1.114730e+00   2.804200e+01   1.540744e+01
  1.116730e+00   7.599000e+00   1.539161e+01
  1.118720e+00   5.461100e+01   1.562224e+01
  1.120720e+00   5.046800e+01   1.556542e+01
  1.122720e+00   5.523500e+01   1.564696e+01
  1.124720e+00   2.839400e+01   1.525494e+01
  1.126720e+00   5.851100e+01   1.545702e+01
  1.128720e+00   5.008500e+01   1.548353e+01
  1.130710e+00   4.906600e+01   1.545951e+01
  1.132710e+00   4.172200e+01   1.530988e+01
  1.134710e+00   2.956400e+01   1.522330e+01
  1.136710e+00   6.851400e+01   1.561467e+01
  1.138710e+00   3.602200e+01   1.526735e+01
